;fizikiai;1;szellemi;2;vegyes;3
alk. önkiszolgáló osztályon (zöldség osztály);1;;;;;
pénzügyi munkatárs;2;;;;;
kiszállító;1;;;;;
Call Despatch;2;;;;;
üzemi takarító;1;;;;;
szakeladó, pénztáros;1;;;;;
adminisztratív feladatok;2;;;;;
E-ker darkstore;1;;;;;
Gazdasági főigazagató helyettes;2;;;;;
Területi értékesítési vezető;2;;;;;
QA Responsible Person MSD AH-2Retail;2;;;;;
készlet koordinátor;2;;;;;
szakmai irányító;2;;;;;
Digitális műszaki rajzoló;2;;;;;
Webshop vezető;2;;;;;
technológia vezető;2;;;;;
ruhaipari technikus;1;;;;;
Henkel/Termelés vezető;2;;;;;
szervizmérnök;1;;;;;
fejlesztés vezető;2;;;;;
áruházvezető h.;2;;;;;
minőség bizt. Vezető;2;;;;;
állategészségügyi csoportvezető;2;;;;;
titkárnő;2;;;;;
logisztika biztonsági vezető;2;;;;;
osztályvezető h.;2;;;;;
Gyógytornász, Manuálterapeuta;3;;;;;
készletgazdálkodó;2;;;;;
szervizvezető;1;;;;;
ügyfélszolgálati csoportvezető;2;;;;;
betanított gépkezelő;1;;;;;
Supply chain manager;2;;;;;
raktáros, targoncás;1;;;;;
hivatalvezető;2;;;;;
Supply Chan Planning Director;2;;;;;
marketing specialista;2;;;;;
iratkezelési asszisztens;2;;;;;
e-KERESKEDELMI ÉS HÁZHOZSZÁLLÍTÁSI ELLENŐR;1;;;;;
Kirendeltségvezető;2;;;;;
Duális gyakorlat;2;;;;;
raktáros/anyagbeszerző;1;;;;;
nyomdai kisegítő;1;;;;;
Vezető támogató osztályvezető;2;;;;;
